Type,Jap_name,Species,Date,Season,Region,Site_jap,Site,Point,Lat,Long,Depth,Cover,DW_g_m2,Source,Person_in_charge
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港東斜路深,Kushiro,KaturakoiPortE,42.94444594,144.4473286,,100,979.264,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港東斜路深,Kushiro,KaturakoiPortE,42.94444594,144.4473286,,60,0,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港東斜路深,Kushiro,KaturakoiPortE,42.94444594,144.4473286,,50,0,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港東斜路深,Kushiro,KaturakoiPortE,42.94444594,144.4473286,,90,445.12,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港東斜路深,Kushiro,KaturakoiPortE,42.94444594,144.4473286,,40,445.12,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港東斜路浅,Kushiro,KaturakoiPortE,42.94444594,144.4473286,,80,302.956,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港東斜路浅,Kushiro,KaturakoiPortE,42.94444594,144.4473286,,80,329.3,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港東斜路浅,Kushiro,KaturakoiPortE,42.94444594,144.4473286,,70,105.376,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港東斜路浅,Kushiro,KaturakoiPortE,42.94444594,144.4473286,,80,421.504,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港東斜路浅,Kushiro,KaturakoiPortE,42.94444594,144.4473286,,70,447.848,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港東斜路浅,Kushiro,KaturakoiPortE,42.94444594,144.4473286,,100,658.6,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港東斜路浅,Kushiro,KaturakoiPortE,42.94444594,144.4473286,,60,144.892,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港東斜路浅,Kushiro,KaturakoiPortE,42.94444594,144.4473286,,90,368.816,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港東斜路浅,Kushiro,KaturakoiPortE,42.94444594,144.4473286,,90,223.924,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港東斜路浅,Kushiro,KaturakoiPortE,42.94444594,144.4473286,,90,474.192,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港西斜路,Kushiro,KaturakoiPortW,42.94669942,144.4441313,,90,0,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港西斜路,Kushiro,KaturakoiPortW,42.94669942,144.4441313,,100,1942.375,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港西斜路,Kushiro,KaturakoiPortW,42.94669942,144.4441313,,70,932.34,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港西斜路,Kushiro,KaturakoiPortW,42.94669942,144.4441313,,70,77.695,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港西斜路,Kushiro,KaturakoiPortW,42.94669942,144.4441313,,50,77.695,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港西斜路,Kushiro,KaturakoiPortW,42.94669942,144.4441313,,90,310.78,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港西斜路,Kushiro,KaturakoiPortW,42.94669942,144.4441313,,90,2408.545,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港西斜路,Kushiro,KaturakoiPortW,42.94669942,144.4441313,,100,854.645,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港西斜路,Kushiro,KaturakoiPortW,42.94669942,144.4441313,,100,2097.765,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港西斜路,Kushiro,KaturakoiPortW,42.94669942,144.4441313,,100,3962.445,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港西斜路,Kushiro,KaturakoiPortW,42.94669942,144.4441313,,100,3729.36,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港西斜路,Kushiro,KaturakoiPortW,42.94669942,144.4441313,,100,1165.425,BC_project,Hasegawa
Makombu,Makombu,Saccharina japonica,2022/7/25,Flourish,Hokkaido,室蘭市チャラツナイ,Muroran,Charatsuani,42.30406482,140.9883998,,100,7302.072,BC_project,Hasegawa
Makombu,Makombu,Saccharina japonica,2022/7/26,Flourish,Hokkaido,室蘭市チャラツナイ,Muroran,Charatsuani,42.30406482,140.9883998,,100,6650.288,BC_project,Hasegawa
Makombu,Makombu,Saccharina japonica,2022/7/27,Flourish,Hokkaido,室蘭市チャラツナイ,Muroran,Charatsuani,42.30406482,140.9883998,,100,10467.76,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/7/28,Flourish,Hokkaido,厚岸湾愛冠ポンプ室,Akkeshi,Aikappu,43.02009121,144.8357533,,90,68.8,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/7/28,Flourish,Hokkaido,厚岸湾愛冠ポンプ室,Akkeshi,Aikappu,43.02009121,144.8357533,,10,9.5,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/7/28,Flourish,Hokkaido,厚岸湾愛冠ポンプ室,Akkeshi,Aikappu,43.02009121,144.8357533,,80,24,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/7/28,Flourish,Hokkaido,厚岸湾愛冠ポンプ室,Akkeshi,Aikappu,43.02009121,144.8357533,,80,110.3,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/7/28,Flourish,Hokkaido,厚岸湾愛冠ポンプ室,Akkeshi,Aikappu,43.02009121,144.8357533,,80,57.1,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/7/28,Flourish,Hokkaido,厚岸湾愛冠ポンプ室,Akkeshi,Aikappu,43.02009121,144.8357533,,70,59.9,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/7/28,Flourish,Hokkaido,厚岸湾愛冠ポンプ室,Akkeshi,Aikappu,43.02009121,144.8357533,,70,42.5,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/7/28,Flourish,Hokkaido,厚岸湾愛冠ポンプ室,Akkeshi,Aikappu,43.02009121,144.8357533,,30,12.5,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/7/28,Flourish,Hokkaido,厚岸湾愛冠ポンプ室,Akkeshi,Aikappu,43.02009121,144.8357533,,70,112,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/7/28,Flourish,Hokkaido,厚岸湾愛冠ポンプ室,Akkeshi,Aikappu,43.02009121,144.8357533,,0,0,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/7/28,Flourish,Hokkaido,厚岸湾愛冠ポンプ室,Akkeshi,Aikappu,43.02009121,144.8357533,,100,277,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/7/28,Flourish,Hokkaido,厚岸湾愛冠ポンプ室,Akkeshi,Aikappu,43.02009121,144.8357533,,100,156.5,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/7/28,Flourish,Hokkaido,厚岸湾愛冠ポンプ室,Akkeshi,Aikappu,43.02009121,144.8357533,,100,319.3,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/7/28,Flourish,Hokkaido,厚岸湾愛冠ポンプ室,Akkeshi,Aikappu,43.02009121,144.8357533,,90,211.1,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/7/28,Flourish,Hokkaido,厚岸湾愛冠ポンプ室,Akkeshi,Aikappu,43.02009121,144.8357533,,100,256.5,BC_project,Hasegawa
Nagakombu,Nagakombu,Saccharina coriacea &S. longissima,2022/7/2,Flourish,Hokkaido,釧路市桂恋,Kushiro,FRA0m,42.94549496,144.4457352,,30,403,BC_project,Hasegawa
Nagakombu,Nagakombu,Saccharina coriacea &S. longissima,2022/7/2,Flourish,Hokkaido,釧路市桂恋,Kushiro,FRA10m,42.94549496,144.4457352,,40,31,BC_project,Hasegawa
Nagakombu,Nagakombu,Saccharina coriacea &S. longissima,2022/7/2,Flourish,Hokkaido,釧路市桂恋,Kushiro,FRA20m,42.94549496,144.4457352,,60,387,BC_project,Hasegawa
Nagakombu,Nagakombu,Saccharina coriacea &S. longissima,2022/7/2,Flourish,Hokkaido,釧路市桂恋,Kushiro,FRA30m,42.94549496,144.4457352,,30,318,BC_project,Hasegawa
Nagakombu,Nagakombu,Saccharina coriacea &S. longissima,2022/7/2,Flourish,Hokkaido,釧路市桂恋,Kushiro,FRA40m,42.94549496,144.4457352,,30,201,BC_project,Hasegawa
Nagakombu,Nagakombu,Saccharina coriacea &S. longissima,2022/7/2,Flourish,Hokkaido,釧路市桂恋,Kushiro,FRA50m,42.94549496,144.4457352,,60,992,BC_project,Hasegawa
Nagakombu,Nagakombu,Saccharina coriacea &S. longissima,2022/7/2,Flourish,Hokkaido,釧路市桂恋,Kushiro,FRA60m,42.94549496,144.4457352,,60,4307,BC_project,Hasegawa
Nagakombu,Nagakombu,Saccharina coriacea &S. longissima,2022/7/2,Flourish,Hokkaido,釧路市桂恋,Kushiro,FRA70m,42.94549496,144.4457352,,100,7192,BC_project,Hasegawa
Nagakombu,Nagakombu,Saccharina coriacea &S. longissima,2022/7/2,Flourish,Hokkaido,釧路市桂恋,Kushiro,FRA80m,42.94549496,144.4457352,,100,10168,BC_project,Hasegawa
Nagakombu,Nagakombu,Saccharina coriacea &S. longissima,2022/7/2,Flourish,Hokkaido,釧路市桂恋,Kushiro,FRA90m,42.94549496,144.4457352,,80,1480,BC_project,Hasegawa
Nagakombu,Nagakombu,Saccharina coriacea &S. longissima,2022/7/2,Flourish,Hokkaido,釧路市桂恋,Kushiro,FRA100m,42.94549496,144.4457352,,20,0,BC_project,Hasegawa
Nagakombu,Nagakombu,Saccharina coriacea &S. longissima,2022/7/2,Flourish,Hokkaido,釧路市桂恋,Kushiro,FRA110m,42.94549496,144.4457352,,10,0,BC_project,Hasegawa
Nagakombu,Nagakombu,Saccharina coriacea &S. longissima,2022/7/2,Flourish,Hokkaido,釧路市桂恋,Kushiro,FRA120m,42.94549496,144.4457352,,10,0,BC_project,Hasegawa
Nagakombu,Nagakombu,Saccharina coriacea &S. longissima,2022/7/2,Flourish,Hokkaido,釧路市桂恋,Kushiro,FRA130m,42.94549496,144.4457352,,0,0,BC_project,Hasegawa
Nagakombu,Nagakombu,Saccharina coriacea &S. longissima,2022/7/2,Flourish,Hokkaido,釧路市桂恋,Kushiro,FRA140m,42.94549496,144.4457352,,0,0,BC_project,Hasegawa
Nagakombu,Nagakombu,Saccharina coriacea &S. longissima,2022/6/28,Flourish,Hokkaido,釧路市桂恋,Kushiro,KaturakoiPort,42.948961,144.441948,,90,248,BC_project,Hasegawa
Nagakombu,Nagakombu,Saccharina coriacea &S. longissima,2022/6/28,Flourish,Hokkaido,釧路市桂恋,Kushiro,KaturakoiPort,42.94893,144.44194,,90,2232,BC_project,Hasegawa
Nagakombu,Nagakombu,Saccharina coriacea &S. longissima,2022/6/28,Flourish,Hokkaido,釧路市桂恋,Kushiro,KaturakoiPort,42.94871,144.44155,,100,5952,BC_project,Hasegawa
Nagakombu,Nagakombu,Saccharina coriacea &S. longissima,2022/6/28,Flourish,Hokkaido,釧路市桂恋,Kushiro,KaturakoiPort,42.94881,144.44159,,100,1984,BC_project,Hasegawa
Nagakombu,Nagakombu,Saccharina coriacea &S. longissima,2022/6/28,Flourish,Hokkaido,釧路市桂恋,Kushiro,KaturakoiPort,42.94881,144.44152,,90,1395,BC_project,Hasegawa
Nagakombu,Nagakombu,Saccharina coriacea &S. longissima,2022/6/28,Flourish,Hokkaido,釧路市桂恋,Kushiro,KaturakoiPort,42.9488,144.44152,,100,4712,BC_project,Hasegawa
Nagakombu,Nagakombu,Saccharina coriacea &S. longissima,2022/6/28,Flourish,Hokkaido,釧路市桂恋,Kushiro,KaturakoiPort,42.94883,144.44161,,100,7192,BC_project,Hasegawa
Nagakombu,Nagakombu,Saccharina coriacea &S. longissima,2022/6/28,Flourish,Hokkaido,釧路市桂恋,Kushiro,KaturakoiPort,42.94884,144.44147,,90,4650,BC_project,Hasegawa
Nagakombu,Nagakombu,Saccharina coriacea &S. longissima,2022/6/28,Flourish,Hokkaido,釧路市桂恋,Kushiro,KaturakoiPort,42.94885,144.44146,,90,8184,BC_project,Hasegawa
Nagakombu,Nagakombu,Saccharina coriacea &S. longissima,2022/6/28,Flourish,Hokkaido,釧路市桂恋,Kushiro,KaturakoiPort,42.94875,144.44146,,100,7068,BC_project,Hasegawa
Nagakombu,Nagakombu,Saccharina coriacea &S. longissima,2022/6/28,Flourish,Hokkaido,釧路市桂恋,Kushiro,KaturakoiPort,42.94875,144.44147,,100,5084,BC_project,Hasegawa
Nagakombu,Nagakombu,Saccharina coriacea &S. longissima,2021/6/1,Flourish,Hokkaido,釧路市桂恋,Kushiro,FRA0m,42.94549496,144.4457352,,100,2876,BC_project,Hasegawa
Nagakombu,Nagakombu,Saccharina coriacea &S. longissima,2021/6/1,Flourish,Hokkaido,釧路市桂恋,Kushiro,FRA10m,42.94549496,144.4457352,,90,4152,BC_project,Hasegawa
Nagakombu,Nagakombu,Saccharina coriacea &S. longissima,2021/6/1,Flourish,Hokkaido,釧路市桂恋,Kushiro,FRA20m,42.94549496,144.4457352,,50,1273,BC_project,Hasegawa
Nagakombu,Nagakombu,Saccharina coriacea &S. longissima,2021/6/1,Flourish,Hokkaido,釧路市桂恋,Kushiro,FRA30m,42.94549496,144.4457352,,0,644,BC_project,Hasegawa
Nagakombu,Nagakombu,Saccharina coriacea &S. longissima,2021/6/1,Flourish,Hokkaido,釧路市桂恋,Kushiro,FRA40m,42.94549496,144.4457352,,60,2588,BC_project,Hasegawa
Nagakombu,Nagakombu,Saccharina coriacea &S. longissima,2021/6/1,Flourish,Hokkaido,釧路市桂恋,Kushiro,FRA50m,42.94549496,144.4457352,,90,2232,BC_project,Hasegawa
Nagakombu,Nagakombu,Saccharina coriacea &S. longissima,2021/6/1,Flourish,Hokkaido,釧路市桂恋,Kushiro,FRA60m,42.94549496,144.4457352,,40,1554,BC_project,Hasegawa
Nagakombu,Nagakombu,Saccharina coriacea &S. longissima,2021/6/1,Flourish,Hokkaido,釧路市桂恋,Kushiro,FRA70m,42.94549496,144.4457352,,40,685,BC_project,Hasegawa
Nagakombu,Nagakombu,Saccharina coriacea &S. longissima,2021/6/1,Flourish,Hokkaido,釧路市桂恋,Kushiro,FRA80m,42.94549496,144.4457352,,60,413,BC_project,Hasegawa
Nagakombu,Nagakombu,Saccharina coriacea &S. longissima,2021/6/1,Flourish,Hokkaido,釧路市桂恋,Kushiro,FRA90m,42.94549496,144.4457352,,40,1598,BC_project,Hasegawa
Nagakombu,Nagakombu,Saccharina coriacea &S. longissima,2021/6/1,Flourish,Hokkaido,釧路市桂恋,Kushiro,FRA100m,42.94549496,144.4457352,,40,1141,BC_project,Hasegawa
Nagakombu,Nagakombu,Saccharina coriacea &S. longissima,2021/6/1,Flourish,Hokkaido,釧路市桂恋,Kushiro,FRA110m,42.94549496,144.4457352,,90,1710,BC_project,Hasegawa
Nagakombu,Nagakombu,Saccharina coriacea &S. longissima,2021/6/1,Flourish,Hokkaido,釧路市桂恋,Kushiro,FRA120m,42.94549496,144.4457352,,30,0,BC_project,Hasegawa
Nagakombu,Nagakombu,Saccharina coriacea &S. longissima,2021/6/1,Flourish,Hokkaido,釧路市桂恋,Kushiro,FRA130m,42.94549496,144.4457352,,0,0,BC_project,Hasegawa
Nagakombu,Nagakombu,Saccharina coriacea &S. longissima,2021/6/1,Flourish,Hokkaido,釧路市桂恋,Kushiro,FRA140m,42.94549496,144.4457352,,0,0,BC_project,Hasegawa
Makombu,Makombu,Saccharina japonica,2022/7/29,Flourish,TohokuPacific,宮古,Miyako,,39.60029198,142.033162,5.5,80,744.4266667,BC_project,Yatsuya
Makombu,Makombu,Saccharina japonica,2022/7/29,Flourish,TohokuPacific,宮古,Miyako,,39.60029198,142.033162,5.5,10,17.17333333,BC_project,Yatsuya
Makombu,Makombu,Saccharina japonica,2022/7/29,Flourish,TohokuPacific,宮古,Miyako,,39.60029198,142.033162,5.5,75,252.3733333,BC_project,Yatsuya
Makombu,Makombu,Saccharina japonica,2022/7/29,Flourish,TohokuPacific,宮古,Miyako,,39.60029198,142.033162,5.5,30,54.50666667,BC_project,Yatsuya
Makombu,Makombu,Saccharina japonica,2022/7/29,Flourish,TohokuPacific,宮古,Miyako,,39.60029198,142.033162,5.5,100,686.56,BC_project,Yatsuya
Makombu,Makombu,Saccharina japonica,2022/7/29,Flourish,TohokuPacific,宮古,Miyako,,39.60029198,142.033162,5.5,50,100.4266667,BC_project,Yatsuya
Makombu,Makombu,Saccharina japonica,2022/7/29,Flourish,TohokuPacific,宮古,Miyako,,39.60029198,142.033162,5.5,25,88.85333333,BC_project,Yatsuya
Makombu,Makombu,Saccharina japonica,2022/7/29,Flourish,TohokuPacific,宮古,Miyako,,39.60029198,142.033162,5.5,60,360.64,BC_project,Yatsuya
Makombu,Makombu,Saccharina japonica,2022/7/29,Flourish,TohokuPacific,宮古,Miyako,,39.60029198,142.033162,6,70,224,BC_project,Yatsuya
Makombu,Makombu,Saccharina japonica,2022/7/29,Flourish,TohokuPacific,宮古,Miyako,,39.60029198,142.033162,6,15,55.62666667,BC_project,Yatsuya
Makombu,Makombu,Saccharina japonica,2022/7/29,Flourish,TohokuPacific,宮古,Miyako,,39.60029198,142.033162,9,20,79.89333333,BC_project,Yatsuya
Makombu,Makombu,Saccharina japonica,2022/7/29,Flourish,TohokuPacific,宮古,Miyako,,39.60029198,142.033162,12,30,157.1733333,BC_project,Yatsuya
Makombu,Makombu,Saccharina japonica,2022/7/29,Flourish,TohokuPacific,宮古,Miyako,,39.60029198,142.033162,12,20,52.64,BC_project,Yatsuya
Makombu,Makombu,Saccharina japonica,2022/7/29,Flourish,TohokuPacific,宮古,Miyako,,39.60029198,142.033162,12,2.5,0.373333333,BC_project,Yatsuya
